,Reference,ManagingOrganizationReference,ManagingOrganizationDisplay
0,5d575dbe-f9fa-ba1d-7b6d-bbb92044c506,Organization?identifier=https://github.com/synthetichealth/synthea|4bdaa4c2-c664-3089-aee2-7137abbad27f,HARRINGTON MEMORIAL HOSPITAL-1
1,aa6dbfdf-4ac0-18b3-45ca-f427a1542f6c,Organization?identifier=https://github.com/synthetichealth/synthea|4bdaa4c2-c664-3089-aee2-7137abbad27f,HARRINGTON MEMORIAL HOSPITAL-1
2,5b6740e4-c5d6-e34d-b56e-01b4437768f2,Organization?identifier=https://github.com/synthetichealth/synthea|4bdaa4c2-c664-3089-aee2-7137abbad27f,HARRINGTON MEMORIAL HOSPITAL-1
3,b64b9c8b-ec81-e122-8565-7ab90eeb1420,Organization?identifier=https://github.com/synthetichealth/synthea|9a7149fa-49fc-3c87-b935-d29c55808717,NEW ENGLAND BAPTIST HOSPITAL
4,dc907223-2c9e-079f-d153-8f87a45a85d1,Organization?identifier=https://github.com/synthetichealth/synthea|9a7149fa-49fc-3c87-b935-d29c55808717,NEW ENGLAND BAPTIST HOSPITAL
5,afa5fd8b-42c8-21dc-0272-1cc75b5f2e54,Organization?identifier=https://github.com/synthetichealth/synthea|9a7149fa-49fc-3c87-b935-d29c55808717,NEW ENGLAND BAPTIST HOSPITAL
6,6bad1969-656e-4432-1a12-d22f829e699b,Organization?identifier=https://github.com/synthetichealth/synthea|9a7149fa-49fc-3c87-b935-d29c55808717,NEW ENGLAND BAPTIST HOSPITAL
7,c72031f0-6c04-b73d-5b46-a129dc33cca9,Organization?identifier=https://github.com/synthetichealth/synthea|9b4b04bd-4ac0-386e-94fb-5aead18273c3,MEDEXPRESS URGENT CARE PC MASSACHUSETTS
8,b22caaf3-21a1-997a-d4b5-d30b11576f7c,Organization?identifier=https://github.com/synthetichealth/synthea|5103c940-0c08-392f-95cd-446e0cea042a,SHRINERS' HOSPITAL FOR CHILDREN (THE)
9,76f41492-be05-f8f5-f758-651c75cf052b,Organization?identifier=https://github.com/synthetichealth/synthea|23834663-ed53-3da9-b330-d6e1ecb8428e,"SOUTHCOAST HOSPITAL GROUP, INC"
